VAR                     , Sets a Value into the TextScenario.Vars dictionary under a key Variable. Type must be either int, float, bool or string. Value must be able to be converted to the proper Type or it will crash.
EcstacyEffect           , [insert female lenny face here]
EcstacySyncEffect       , [insert two lenny faces having a good time together here]
CrossFade               , 
BlurEffect              , 
DOFTarget               , Set target of depth of field effect to a character with number No.
SepiaEffect             , My eyes
CameraActive            , Don\'t use, will make some plugins unhappy
CameraAspect            , 
CameraChange            , Switch to camera with a GameObject that has name Name.
CameraDirectionAdd      , 
CameraDirectionSet      , 
CameraLerpNullMove      , 
CameraLerpNullSet       , 
CameraLerpAdd           , 
CameraLerpSet           , 
CameraLerpAnimationAdd  , 
CameraLerpAnimationSet  , 
CameraLerpTargetAdd     , 
CameraLerpTargetSet     , 
CameraPositionAdd       , 
CameraPositionSet       , 
CameraRotationAdd       , 
CameraRotationSet       , 
CameraDefault           , Reset the camera position and rotation.
CameraParent            , 
CameraNull              , 
CameraTarget            , 
CameraTargetFront       , 
CameraTargetCharacter   , 
CameraReset             , 
CameraLock              , True by default, if set to false user can move the camera freely during the ADV scene.\nCan\'t left click the ADV box to progress when disabled, have to press Enter or click the play button at bottom. Could be used together with Wait.\nCamera position is not restored after reenabling the lock, use CameraDefault to reset the camera position and rotation.
CameraGetFov            , Save camera field of view to a variable with key Variable.
CameraSetFov            , Set field of effect of current camera, 23 is the default for ADV event
BGMPlay                 , 
BGMStop                 , 
EnvPlay                 , 
EnvStop                 , 
SE2DPlay                , 
SE2DStop                , 
SE3DPlay                , 
SE3DStop                , 
CharaCreate             , Create an ADV character with number No from a heroine number ReadNo. \nThe heroine has to be passed in the arguments when starting the ADV scene. Heroine IDs are calculated like this: (index * -1) - 2\nShould be followed by CharaActive and optionally any expression and pose changes.
CharaFixCreate          , Create an ADV character from a TextAsset
CharaMobCreate          , Create a background ADV character from a TextAsset
CharaDelete             , 
CharaStand              , Change where the character stands. Same as setting Stand position in CharaActive.\nStand: Left, CenterLeft, Center, CenterRight, Right (some of these have variations with _01 added at the end), Base2D (a closer Center)
CharaStandFind          , Move character to a position of some object
CharaPositionAdd        , 
CharaPositionSet        , 
CharaPositionLocalAdd   , 
CharaPositionLocalSet   , 
CharaMotion             , Play an animation clip on character number No. Only State is required, rest is optional.\nState: name of the animation state on the character\'s animator (e.g. Stand_00_00)\nSetting rest of the arguments will load a different RuntimeAnimatorController into the character\'s animator. By default animator at abdata\adv\motion\controller\adv\00.unity3d > cf_adv_00_00 is used, so check it for available clips. You can preview the clips in SB3U.
CharaMotionDefault      , 
CharaMotionWait         , 
CharaMotionLayerWeight  , 
CharaMotionSetParam     , 
CharaMotionIKSetPartner , 
CharaExpression         , Set expression of character number No. Leave fields empty to not change them. Some of these need state names while others work with numbers. Check Commands.Base.CharaExpression source for details.
CharaFixEyes            , True to prevent character from blinking
CharaFixMouth           , True to prevent character from opening the mouth
CharaExpressionIcon     , Add an expression icon to character No. Key is name of the asset inside of the assetbundle in adv/faceicon/icon/
CharaGetShape           , 
CharaCoordinate         , Change character clothes to a specified coordinate.\nType: School01, School02, Gym, Swim, Club, Plain, Pajamas
CharaClothState         , Set undress state of a part of clothing.\nKind is a ClothesKind: top, bot, bra, shorts, gloves, panst, socks, shoes_inner, shoes_outer\nState: 0 - clothed. 1 2 - partial, 3 - off
CharaSiruState          , Set cum stain state.\nParts is a SiruParts\nState: 0 - none, 1 - some, 2 - a lot
CharaVoicePlay          , 
CharaVoiceStop          , 
CharaVoiceStopAll       , 
CharaVoiceWait          , 
CharaVoiceWaitAll       , 
CharaLookEyes           , Change eye angle of character No. Same as the look controls in character maker.\n\n0 through 7
CharaLookEyesTarget     , 
CharaLookEyesTargetChara, Make character\'s eyes look at another character.\nKey is what part of the body to look at, it should be a value of RefObjKey
CharaLookNeck           , Change head position of character No. Same as the head position and amount controls in character maker.
CharaLookNeckTarget     , 
CharaLookNeckTargetChara, Make character\'s head look at another character.\nKey is what part of the body to look at, it should be a value of RefObjKey
CharaLookNeckSkip       , 
CharaItemCreate         , 
CharaItemDelete         , 
CharaItemAnime          , 
CharaItemFind           , 
EventCGSetting          , 
EventCGRelease          , 
EventCGNext             , 
MotionLoad              , 
ExpLoad                 , 
Chara2DCreate           , 
Chara2DDelete           , 
Chara2DStand            , 
Chara2DPositionAdd      , 
Chara2DPositionSet      , 
ObjectCreate            , 
ObjectLoad              , 
ObjectDelete            , 
ObjectPosition          , 
ObjectRotation          , 
ObjectScale             , 
ObjectParent            , 
ObjectComponent         , 
ObjectAnimeParam        , 
MoviePlay               , 
CharaActive             , Can hide a character and change their position on screen. Setting Stand is the same as using CharaStand.\nStand: Left, CenterLeft, Center, CenterRight, Right (some of these have variations with _01 added at the end), Base2D (a closer Center)
CharaVisible            , 
CharaColor              , 
CharaParam              , 
CharaChange             , Change current character and optionally load vars from this character.
CharaNameGet            , 
CharaEvent              , 
HeroineCallNameChange   , 
HeroineFinCG            , 
HeroineParam            , 
PlayerParam             , 
CycleChange             , Change the current part of the cycle to one of the following.\n\nName must be one of:\nWakeUp\nMorning\nGotoSchool\nHR1\nLesson1\nLunchTime\nLesson2\nHR2\nStaffTime\nAfterSchool\nGotoMyHouse\nMyHouse
WeekChange              , 
MapChange               , 
MapUnload               , 
MapVisible              , 
MapObjectActive         , 
DayTimeChange           , 
GetGatePos              , 
CameraLookAt            , 
MozVisible              , 
LookAtDankonAdd         , 
LookAtDankonRemove      , 
HMotionShakeAdd         , 
HMotionShakeRemove      , 
HitReaction             , 
AddPosture              , 
AddCollider             , 
ColliderSetActive       , 
AddNavMeshAgent         , 
NavMeshAgentSetActive   , 
BundleCheck             , Check if file or manifest exists.
CharaPersonal           , 
HNamaOK                 , 
HNamaNG                 , 
CameraShakePos          , 
CameraShakeRot          , 
Prob                    , 
Probs                   , 
FormatVAR               , 
CharaKaraokePlay        , 
CharaKaraokeStop        , 
Task                    , 
TaskWait                , 
TaskEnd                 , 
ParameterFile           , 
Log                     , 
HSafeDaySet             , 
HDangerDaySet           , 
HeroineWeddingInfo      , 
CameraLightOffset       , 
CharaSetShape           , 
CharaCoordinateChange   , Change character clothes to a coordinate inside a TextAsset
CharaShoesChange        , Change shoes type between indoors and outdoors\nType: In, Out
CameraAnimeLoad         , Load Animator for the character
CameraAnimePlay         , 
CameraAnimeWait         , 
CameraAnimeLayerWeight  , 
CameraAnimeSetParam     , 
CameraAnimeRelease      , 
CameraLightActive       , 
CameraLightAngle        , 
InfoAudio               , 
CharaCreateEmpty        , Seems useless? Creates a dummy character, maybe you could load a chafile onto it somehow
CharaCreateDummy        , Seems useless? Creates a dummy character
CharaFixCreateDummy     , Seems useless? Creates a dummy character
CharaMobCreateDummy     , Seems useless? Creates a dummy character
ReplaceLanguage         , 
